Year,Alexandria,Arlington,Fairfax,Montgomery,PrinceGeorges,Washington
1936,,,,,,10.63107764
1937,,,,,,10.65181923
1938,,,,,,8.282277869
1939,,,,,,7.7463078
1940,2.983026579,,,,,10.85823816
1941,11.00430819,6.165142592,,,,7.828659304
1942,28.0785587,4.12531043,,,,10.71053703
1943,4.761655342,6.206346113,,,,10.78293929
1944,20.07646904,2.262351307,,,,7.930701806
1945,6.295247088,2.078040823,,,,7.507153977
1946,11.88556577,4.803747692,,,,12.85926923
1947,5.627694259,2.680335185,,,,8.547549161
1948,17.8144518,5.009718855,,,,9.427132527
1949,11.87233508,2.350947941,,,,9.895095496
1950,8.092317154,2.214855776,,,,8.227600358
1951,7.72670938,2.170072958,,,,10.77213944
1952,10.34979345,0.709021734,,,,9.0619201
1953,2.834555499,2.780972033,,,,9.358661074
1954,2.721777212,1.363979218,,,,9.022871327
1955,7.852889209,1.338464112,,,,6.768258655
1956,10.0846353,2.627772135,,,,8.341409529
1957,13.37350247,0,,,,10.05903104
1958,10.56638153,3.168354977,,,,11.92327013
1959,9.080652082,8.094352757,,,,12.50361107
1960,8.788987399,1.835974076,1.090901157,2.93317064,4.197036892,10.73360246
1961,1.075101194,1.215884559,3.412923855,2.227691824,3.353002562,11.53022609
1962,,,,1.325190655,3.109829117,11.93494589
1963,6.185726436,4.20001932,0.911832763,1.011397693,2.676500725,12.60301984
1964,7.071492792,3.576661568,4.610823447,2.659057572,4.178298004,17.6089283
1965,3.961160818,2.96133971,2.73963971,2.315519655,3.732948774,19.46771582
1966,2.913413355,4.119323866,2.34978724,1.333165651,4.079375752,18.56512884
1967,4.763560666,2.923650048,2.244303397,1.708508393,3.160026923,23.45982926
1968,11.21967182,2.905162707,1.909229502,1.439047696,4.833876339,25.72562082
1969,7.343053701,2.8869077,2.059406557,3.368865618,3.332012164,37.9000669
1970,12.61966143,4.590209084,3.955861378,2.869116637,6.358174114,29.4774689
1971,8.169497095,4.06703638,3.196869625,1.703147454,5.446150132,36.92800369
1972,15.54018601,1.176837485,0.206869302,2.808684753,9.524273139,33.56645189
1973,11.04751629,2.980119622,3.416501703,4.447061623,8.762412032,37.16766319
1974,13.90825743,4.226797899,3.126386113,2.750746094,8.605480393,39.05593487
1975,11.20683617,4.282877972,4.372947804,3.8117296,7.694408277,33.69554853
1976,12.22891782,3.100332976,3.517547936,5.030945706,5.729195407,27.42108489
1977,13.26595492,5.656659617,2.345143838,2.668185516,8.135963399,28.49569025
1978,10.50007064,1.911607279,3.341981443,2.113404586,5.570861204,28.55121181
1979,11.53967098,0.646130486,1.887721743,3.139013297,7.523089113,27.68588883
